"USER","PID","VSZ","RSS","%MEM","COMMAND"
"root","397","2896","1912","0.2","/sbin/dhcpcd-q-b"
"nobody","342","4320","2156","0.2","/usr/sbin/thd--triggers/etc/triggerhappy/triggers.d/--socket/run/thd.socket--usernobody--deviceglob/dev/input/event*"
"root","320","7944","2348","0.2","/usr/sbin/cron-f"
"root","449","5620","2384","0.2","/bin/login-f"
"pi","557","8576","2648","0.2","-bash"
"pi","4063","9944","2680","0.2","ps-eouser,pid,vsz,rss,%mem,command--sort=%mem"
"root","3987","12696","2692","0.2","/lib/systemd/systemd-hostnamed"
"root","2","0","0","0.0","[kthreadd]"
"root","3","0","0","0.0","[rcu_gp]"
"root","4","0","0","0.0","[rcu_par_gp]"
"root","8","0","0","0.0","[mm_percpu_wq]"
"root","21","0","0","0.0","[ksoftirqd/2]"
"root","24","0","0","0.0","[cpuhp/3]"
"root","319","63192","8932","0.9","/usr/lib/udisks2/udisksd"
"pi","713","79340","9656","1.0","/usr/lib/gvfs/gvfs-udisks2-volume-monitor"
"pi","656","47132","10496","1.1","lxpolkit"
"pi","517","54448","11424","1.2","/usr/bin/lxsession-sLXDE-pi-eLXDE"
"pi","4057","23820","15384","1.6","/usr/bin/python3-u-B/usr/lib/python3/dist-packages/thonny/backend_launcher.py"
"root","25","0","0","0.0","[migration/3]"
"root","26","0","0","0.0","[ksoftirqd/3]"
"root","29","0","0","0.0","[kdevtmpfs]"
"root","30","0","0","0.0","[netns]"
"pi","717","26440","4964","0.5","/usr/lib/menu-cache/menu-cached/run/user/1000/menu-cached-:0"
"pi","724","41692","5068","0.5","/usr/lib/gvfs/gvfs-gphoto2-volume-monitor"
"root","432","37500","5312","0.5","/usr/sbin/lightdm"
"root","34","0","0","0.0","[khungtaskd]"
"pi","1548","31136","5160","0.5","/usr/lib/gvfs/gvfsd-metadata"
"root","35","0","0","0.0","[oom_reaper]"
"pi","728","40100","5268","0.5","/usr/lib/gvfs/gvfs-goa-volume-monitor"
"root","36","0","0","0.0","[writeback]"
"root","37","0","0","0.0","[kcompactd0]"
"root","38","0","0","0.0","[crypto]"
"root","39","0","0","0.0","[kblockd]"
"root","40","0","0","0.0","[watchdogd]"
"root","41","0","0","0.0","[rpciod]"
"root","42","0","0","0.0","[kworker/u9:0-hci0]"
"root","43","0","0","0.0","[xprtiod]"
"root","46","0","0","0.0","[kswapd0]"
"root","47","0","0","0.0","[nfsiod]"
"root","69","0","0","0.0","[kthrotld]"
"pi","762","53096","6548","0.6","/usr/lib/gvfs/gvfsd-trash--spawner:1.4/org/gtk/gvfs/exec_spaw/0"
"pi","4024","54256","6596","0.6","/usr/lib/gvfs/gvfsd-dnssd--spawner:1.4/org/gtk/gvfs/exec_spaw/7"
"pi","732","56020","6968","0.7","/usr/lib/gvfs/gvfs-afc-volume-monitor"
"root","71","0","0","0.0","[iscsi_eh]"
"root","72","0","0","0.0","[dwc_otg]"
"root","73","0","0","0.0","[DWCNotificatio]"
"root","75","0","0","0.0","[vchiq-slot/0]"
"root","76","0","0","0.0","[vchiq-recy/0]"
"root","77","0","0","0.0","[vchiq-sync/0]"
"root","78","0","0","0.0","[vchiq-keep/0]"
"root","79","0","0","0.0","[SMIO]"
"root","80","0","0","0.0","[irq/86-mmc1]"
"root","82","0","0","0.0","[mmc_complete]"
"root","83","0","0","0.0","[kworker/2:1H+kblockd]"
"root","85","0","0","0.0","[kworker/1:1H-kblockd]"
"root","86","0","0","0.0","[jbd2/mmcblk0p7-]"
"root","87","0","0","0.0","[ext4-rsv-conver]"
"root","89","0","0","0.0","[ipv6_addrconf]"
"root","540","26704","4068","0.4","/usr/bin/bluealsa"
"root","530","9808","4176","0.4","/usr/lib/bluetooth/bluetoothd"
"root","454","11088","4248","0.4","wpa_supplicant-B-c/etc/wpa_supplicant/wpa_supplicant.conf-iwlan0-Dnl80211,wext"
"pi","737","40124","4568","0.4","/usr/lib/gvfs/gvfs-mtp-volume-monitor"
"root","94","0","0","0.0","[kworker/3:1H-kblockd]"
"root","105","0","0","0.0","[kworker/0:2H-mmc_complete]"
"root","176","0","0","0.0","[SMIO]"
"pi","1849","25992","4512","0.4","/usr/lib/dconf/dconf-service"
"root","195","0","0","0.0","[mmal-vchiq]"
"root","196","0","0","0.0","[mmal-vchiq]"
"root","197","0","0","0.0","[mmal-vchiq]"
"root","217","0","0","0.0","[cfg80211]"
"root","219","0","0","0.0","[brcmf_wq/mmc1:0]"
"root","220","0","0","0.0","[brcmf_wdog/mmc1]"
"root","279","0","0","0.0","[kworker/0:2-events]"
"root","520","0","0","0.0","[kworker/u9:1-hci0]"
"root","548","0","0","0.0","[krfcommd]"
"root","2150","0","0","0.0","[kworker/1:0-mm_percpu_wq]"
"root","2253","0","0","0.0","[kworker/3:2-events]"
"message+","326","6748","3580","0.3","/usr/bin/dbus-daemon--system--address=systemd:--nofork--nopidfile--systemd-activation--syslog-only"
"pi","2856","0","0","0.0","[python3]<defunct>"
"root","2925","0","0","0.0","[kworker/0:0]"
"root","2933","0","0","0.0","[kworker/3:0]"
"root","3146","0","0","0.0","[kworker/1:0H]"
"pi","621","4480","1416","0.1","/usr/bin/ssh-agentx-session-manager"
"root","3298","0","0","0.0","[kworker/u8:0-cfg80211]"
"root","3350","0","0","0.0","[kworker/3:0H]"
"root","3906","0","0","0.0","[kworker/2:2-events]"
"root","3907","0","0","0.0","[kworker/1:1-mm_percpu_wq]"
"root","3981","0","0","0.0","[kworker/1:2H]"
"root","3986","0","0","0.0","[kworker/3:2H]"
"root","4009","0","0","0.0","[kworker/2:2H]"
"root","4010","0","0","0.0","[kworker/0:1H]"
"root","519","2140","128","0.0","/usr/bin/hciattach/dev/serial1bcm43xx921600noflow-b8:27:eb:6e:61:1a"
"avahi","396","5772","252","0.0","avahi-daemon:chroothelper"
"pi","674","4480","312","0.0","/usr/bin/ssh-agent-s"
"pi","4062","1940","392","0.0","/bin/sh-cps-eouser,pid,vsz,rss,%mem,command--sort=%mem"
"root","334","3692","748","0.0","/usr/sbin/alsactl-EHOME=/run/alsa-s-n19-crdaemon"
"root","350","27656","1428","0.1","/usr/sbin/rngd-r/dev/hwrng"
"pi","504","16696","1672","0.1","(sd-pam)"
"avahi","345","5772","2908","0.3","avahi-daemon:running[Ermeson.local]"
"root","323","25512","3084","0.3","/usr/sbin/rsyslogd-n-iNONE"
"pi","529","6624","3520","0.3","/usr/bin/dbus-daemon--session--address=systemd:--nofork--nopidfile--systemd-activation--syslog-only"
"root","151","18428","3816","0.4","/lib/systemd/systemd-udevd"
"root","343","10700","3980","0.4","/sbin/wpa_supplicant-u-s-O/run/wpa_supplicant"
"pi","648","54508","4880","0.5","/usr/lib/gvfs/gvfsd-fuse/run/user/1000/gvfs-f-obig_writes"
"pi","717","26440","4964","0.5","/usr/lib/menu-cache/menu-cached/run/user/1000/menu-cached-:0"
"pi","724","41692","5068","0.5","/usr/lib/gvfs/gvfs-gphoto2-volume-monitor"
"pi","1548","31136","5160","0.5","/usr/lib/gvfs/gvfsd-metadata"
"pi","728","40100","5268","0.5","/usr/lib/gvfs/gvfs-goa-volume-monitor"
"root","432","37500","5312","0.5","/usr/sbin/lightdm"
"systemd+","277","22372","5452","0.5","/lib/systemd/systemd-timesyncd"
"root","429","37960","5640","0.5","/usr/lib/policykit-1/polkitd--no-debug"
"root","332","13000","5764","0.6","/lib/systemd/systemd-logind"
"root","3439","0","0","0.0","[kworker/u8:2+flush-179:0]"
"root","3704","0","0","0.0","[kworker/2:0-events]"
"root","3804","0","0","0.0","[kworker/2:1-events]"
"root","3817","0","0","0.0","[kworker/1:2-events_power_efficient]"
"root","3818","0","0","0.0","[kworker/2:0H]"
"root","3844","0","0","0.0","[kworker/0:0H]"
"root","3881","0","0","0.0","[kworker/u8:1]"
"root","493","29904","5984","0.6","lightdm--session-child1417"
"root","112","35456","6092","0.6","/lib/systemd/systemd-journald"
"pi","643","52628","6136","0.6","/usr/lib/gvfs/gvfsd"
"pi","3991","53008","6536","0.6","/usr/lib/gvfs/gvfsd-network--spawner:1.4/org/gtk/gvfs/exec_spaw/3"
"pi","501","14664","7376","0.7","/lib/systemd/systemd--user"
"root","1","33716","8028","0.8","/sbin/initsplash"
"root","9","0","0","0.0","[ksoftirqd/0]"
"root","10","0","0","0.0","[rcu_sched]"
"root","11","0","0","0.0","[rcu_bh]"
"pi","653","64572","17032","1.7","openbox--config-file/home/pi/.config/openbox/lxde-pi-rc.xml"
"pi","664","149652","28420","2.9","lxpanel--profileLXDE-pi"
"pi","665","159260","32204","3.3","pcmanfm--desktop--profileLXDE-pi"
"pi","2318","84768","36868","3.8","/usr/bin/python3/usr/bin/thonny/home/pi/Desktop/Ermeson/Revista_Aging/edgeInformation[5].py"
"root","448","279388","71288","7.5","/usr/lib/xorg/Xorg:0-seatseat0-auth/var/run/lightdm/root/:0-nolistentcpvt7-novtswitch"
"root","12","0","0","0.0","[migration/0]"
"root","13","0","0","0.0","[cpuhp/0]"
"root","14","0","0","0.0","[cpuhp/1]"
"root","15","0","0","0.0","[migration/1]"
"root","16","0","0","0.0","[ksoftirqd/1]"
"root","19","0","0","0.0","[cpuhp/2]"
"root","20","0","0","0.0","[migration/2]"
